"BRANCH_ID","LEGEL_NAME","ADDRESS_ID","PHONE_ID","FORM_TYPE_ID","COMMENTS","ORG_ID","MAIN_BRANCH","FACT_NAME"
3891,"Альфатранс",3930,6361,5,"",4084,1,"Альфатранс"
3896,"Орион",3935,19885,5,"",4090,1,"Орион Гостевой дом"
20270,"Администрация Нестеровского района",20024,,27,"",6282,0,"Администрация Нестеровского района"
20271,"Администрация Нестеровского района",20025,,27,"",6282,0,"Администрация Нестеровского района"
6099,"Областная Федерация Профсоюзов",6138,9264,27,"",6453,1,"Областная Федерация Профсоюзов"
6109,"Калининградская областная общественная организация профсоюза Балтийского флота",6148,9276,27,"",6466,1,"Калининградская областная общественная организация профсоюза Балтийского флота"
6114,"Областная организация профсоюза работников здравоохранения",6153,9281,27,"",6471,1,"Областная организация профсоюза работников здравоохранения"
20272,"Фирма Мяркис",20026,,5,"",18508,0,"Фирма Мяркис"
6131,"Генеральное консульство Литовской республики",6170,9302,27,"",6489,1,"Генеральное консульство Литовской республики"
29929,"Формула Здоровья",29617,,5,"",21001,0,"Формула Здоровья"
6138,"ОБКОМ Российского профсоюза работников среднего и малого бизнеса",6177,9310,27,"",6496,1,"ОБКОМ Российского профсоюза работников среднего и малого бизнеса"
6141,"Генеральное консульство Республики Польша ",6180,9323,27,"",6499,1,"Генеральное консульство Республики Польша"
20273,"Торфопредприятие ""Нестеровское""",20027,,5,"",18509,1,"Нестеровское Торфопредприятие ОАО"
6149,"Торговая палата Гамбурга Представительство в г. Калининграде",6188,9334,27,"они же Штайн и партнёры",6507,1,"Торговая палата Гамбурга"
6161,"Олимпик",6200,9356,5,"",6522,1,"Олимпик Гостинично-развлекательный комплекс  "
29930,"Формула Здоровья",29618,,5,"",21001,0,"Формула Здоровья"
6175,"КёнигАвто",6214,9371,6,"",6540,1,"КёнигАвто ОАО"
29931,"Формула Здоровья",29619,,5,"",21001,0,"Формула Здоровья"
29932,"Формула Здоровья",29620,,5,"",21001,0,"Формула Здоровья"
29933,"Формула Здоровья",29621,,5,"",21001,0,"Формула Здоровья"
6189,"Техноавиа-Калининград",6228,25203,5,"",6556,1,"Техноавиа-Калининград ООО"
29934,"Формула Здоровья",29622,,5,"",21001,0,"Формула Здоровья"
6196,"Эдкар",6235,9412,5,"",6562,1,"Эдкар"
6198,"Эдкар",6237,9415,5,"",6562,0,"Эдкар"
6203,"Вест Климат",6242,9422,5,"",6566,1,"Вест Климат"
29935,"Формула Здоровья",29623,,5,"",21001,0,"Формула Здоровья"
29936,"Формула Здоровья",29624,,5,"",21001,0,"Формула Здоровья"
6312,"Учебно-методический центр Эврика",6351,28340,15,"",6590,1,"Эврика НОУ Учебно-методический центр"
29937,"Формула Здоровья",29625,,5,"",21001,0,"Формула Здоровья"
6952,"Павлов",6991,10451,7,"",7162,1,"Автосигнализация  "
6957,"Сидько А.В.",6996,10456,7,"",7166,0,"Андрейка"
6956,"Сидько А.В.",6995,10455,7,"",7166,1,"Андрейка"
