"ADDRESS_ID","HOUSE","ENTRANCE","CASE","STAGE","OFFICE","CABINET","DISTRICT_ID","CITY_ID","STREET_ID","POST_INDEX_ID","OTHER","PAVILION","LITERA"
2167,"75","","","","","",,0,825,,"","",""
2176,"30","","","","","",,0,310,,"","",""
2190,"83 А","","","","","",,0,352,0,"","",""
2201,"38","","","","","",,0,677,21,"","",""
2205,"74","","","","","",,0,926,,"","",""
25251,"1","","","","","",,0,348,,"","",""
2213,"54","","","","","",,0,225,,"","",""
2217,"56","","","","","",,0,225,,"","",""
2219,"54","","","","","",,0,225,,"","",""
2220,"3 А","","","","","",,0,342,,"","","1"
2221,"38","","","","","",,0,454,11,"","",""
2222,"56","","","","","",,0,225,11,"","",""
2223,"106","","","","","",,0,926,19,"","",""
2224,"19","","","","","",,0,245,16,"","",""
2226,"1","","","","","",,6,1221,,"","",""
2227,"67","","","","","",,0,874,,"","",""
2228,"56","","","","","",,0,225,,"","",""
2230,"38","12","","","","212",,0,454,11,"","",""
2232,"54","","","","","",,0,225,11,"","",""
2233,"16/22","","","","","",,0,214,,"","",""
2239,"246","","","","","",,0,245,,"","",""
2243,"21 Д","","","","","",,0,664,,"","",""
2248,"17 Б","","","","","",,0,188,,"","",""
2252,"54-56","","","","","",,0,376,,"","",""
2257,"17 Б","","","","","",,0,188,,"","",""
2262,"48","","","","","",,0,6,11,"","",""
2270,"95","","","","","",,0,535,,"","",""
2279,"2","","","","","",,0,497,11,"","",""
2285,"26 А","","","","","",,0,636,,"","",""
2289,"22","","","","","",,0,45,,"","",""
2293,"10","","","","","",,0,1577,,"","",""
2297,"109 А","","","","","",,0,438,,"","",""
2301,"25","","","","","",,0,820,,"","",""
1849,"112","","","","","",,0,314,0,"","",""
2329,"93","","","","","",,0,369,13,"","",""
2333,"59/67","","","","","",,0,874,5,"","",""
2336,"7 А","","","","","",,0,421,9,"","",""
2338,"","","","","","",,0,,,"","",""
2345,"","","","","","",,0,,,"","",""
2347,"108","","","","","",,0,766,,"","",""
2351,"62","","","","","",,0,454,,"","",""
