"ORG_ID","FACT_NAME","DATE_POSTED","PROJECT_ID","FROM_ID","SOC_RUBRIC","ACTIVE","MDF_USER","MDF_TIME","AUTHOR_USER","AGENT_ID"
7789,"Ресо-Гарантия ОСАО",29.11.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
8420,"Экспертное бюро ВОА Калининградской области",03.12.07,1007,2,3,1,"GTS_ADMIN",11.11.13,"",1008
21481,"Ledmatrix",28.06.12,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1013
21482,"Сервисный центр ИТ Смета",28.06.12,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1013
8528,"ЛиЛЛа",03.12.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1008
8796,"Виктория ",05.12.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1008
21483,"Наше Будущее",28.06.12,1007,2,1,1,"GTS_ADMIN",10.02.14,"GTS_ADMIN",1013
21484,"Эридан ООО",28.06.12,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1008
7507,"ВГВ-Логистик",28.11.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
18305,"Автокондиционеры",,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
6879,"Дом мечты",22.11.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1008
23749,"№33 Начальная школа",16.09.13,1007,2,2,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1013
7631,"Авторемонт ",28.11.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
7651,"АРГО региональный информационный центр",29.11.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
23748,"Балтийская коллегия адвокатов ",16.09.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1013
23750,"Алтэк ООО",16.09.13,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1013
21486,"Радиочастотный центр Северо-Западного федерального округа филиал по КО ФГУП",29.06.12,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1013
7599,"PERSONA Магазин женской одежды",28.11.07,1007,2,1,1,"GTS_ADMIN",29.01.14,"",1013
6639,"Балтфуд",19.11.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1010
7035,"ГлавРемСтрой СК",24.11.07,1007,2,1,1,"GTS_ADMIN",11.11.13,"",1013
20459,"БауКерамик",02.11.11,1007,2,1,1,"GTS_ADMIN",11.11.13,"GTS_ADMIN",1022
